"Date","Price","Open","High","Low","Vol.","Change %"
"2020-7-2","0.121","0.123","0.126","0.121","5.70M","-3.97%"
"2020-6-30","0.126","0.124","0.126","0.121","8.84M","0.80%"
"2020-6-29","0.125","0.124","0.138","0.121","7.31M","0.81%"
"2020-6-26","0.124","0.122","0.125","0.122","8.52M","1.64%"
"2020-6-24","0.122","0.120","0.124","0.120","16.43M","1.67%"
"2020-6-23","0.120","0.122","0.124","0.117","4.94M","-1.64%"
"2020-6-22","0.122","0.125","0.125","0.121","10.42M","-1.61%"
"2020-6-19","0.124","0.124","0.131","0.120","18.67M","0.00%"
"2020-6-18","0.124","0.125","0.126","0.121","25.82M","1.64%"
"2020-6-17","0.122","0.120","0.125","0.120","16.04M","-0.81%"
"2020-6-16","0.123","0.119","0.124","0.119","24.47M","3.36%"
"2020-6-15","0.119","0.135","0.135","0.117","368.00K","-0.83%"
"2020-6-12","0.120","0.108","0.135","0.108","1.57M","20.00%"
"2020-6-11","0.100","0.108","0.108","0.100","80.00K","-7.41%"
"2020-6-10","0.108","0.108","0.108","0.108","0.00K","0.00%"
"2020-6-9","0.108","0.101","0.108","0.101","336.10K","4.85%"
"2020-6-8","0.103","0.101","0.103","0.101","624.00K","-1.90%"
"2020-6-5","0.105","0.107","0.108","0.105","1.15M","-1.87%"
"2020-6-4","0.107","0.108","0.108","0.107","176.02K","-1.83%"
"2020-6-3","0.109","0.112","0.112","0.105","120.00K","-0.91%"
"2020-6-2","0.110","0.113","0.113","0.110","2.00K","-2.65%"
"2020-6-1","0.113","0.113","0.113","0.113","","0.00%"
"2020-5-29","0.113","0.104","0.113","0.104","21.00K","0.89%"
"2020-5-28","0.112","0.112","0.112","0.112","","0.00%"
"2020-5-27","0.112","0.111","0.112","0.111","128.00K","-1.75%"
"2020-5-26","0.114","0.111","0.114","0.111","208.03K","0.88%"
"2020-5-25","0.113","0.112","0.113","0.112","736.00K","0.00%"
"2020-5-22","0.113","0.129","0.129","0.113","893.00K","-8.87%"
"2020-5-21","0.124","0.124","0.124","0.124","","0.00%"
"2020-5-20","0.124","0.121","0.125","0.121","11.29M","-2.36%"
"2020-5-19","0.127","0.120","0.129","0.117","6.68M","5.83%"
"2020-5-18","0.120","0.122","0.130","0.116","14.98M","-3.23%"
"2020-5-15","0.124","0.123","0.128","0.121","18.20M","0.00%"
"2020-5-14","0.124","0.125","0.127","0.123","19.12M","-1.59%"
"2020-5-13","0.126","0.126","0.126","0.126","160.00K","-0.79%"
"2020-5-12","0.127","0.119","0.127","0.119","88.12K","0.00%"
"2020-5-11","0.127","0.113","0.132","0.113","1.09M","11.40%"
"2020-5-8","0.114","0.132","0.132","0.114","15.98M","-12.98%"
"2020-5-7","0.131","0.131","0.134","0.130","22.67M","0.00%"
"2020-5-6","0.131","0.128","0.132","0.123","19.09M","2.34%"
"2020-5-5","0.128","0.127","0.129","0.124","11.28M","0.00%"
